"id","food","filename","calorie","weight"
1,"Apple","ap1.jpg","33.8","65"
2,"Apple","ap10.jpg","28.08","54"
3,"Apple","ap11.jpg","24.96","48"
4,"Apple","ap12.jpg","31.72","61"
5,"Apple","ap13.jpg","32.76","63"
6,"Apple","ap14.jpg","35.88","69"
7,"Apple","ap15.jpg","21.84","42"
8,"Apple","ap16.jpg","29.64","57"
9,"Apple","ap17.jpg","30.16","58"
10,"Apple","ap18.jpg","34.84","67"
11,"Apple","ap19.jpg","34.32","66"
12,"Apple","ap2.jpg","32.24","62"
13,"Apple","ap3.jpg","31.72","61"
14,"Apple","ap4.jpg","33.28","64"
15,"Apple","ap5.jpg","36.4","70"
16,"Apple","ap6.jpg","28.6","55"
17,"Apple","ap7.jpg","30.16","58"
18,"Apple","ap8.jpg","26.52","51"
19,"Apple","ap9.jpg","27.56","53"
20,"Banana","bnn1.jpg","31.15","35"
21,"Banana","bnn2.jpg","40.05","45"
22,"Banana","bnn3.jpg","37.38","42"
23,"Banana","bnn4.jpg","34.71","39"
24,"Banana","bnn5.jpg","32.93","37"
25,"Banana","bnn6.jpg","38.27","43"
26,"Banana","bnn7.jpg","41.83","47"
27,"Banana","bnn8.jpg","45.39","51"
28,"Brinjal","brj1.jpg","13.0","52"
29,"Brinjal","brj2.jpg","10.5","42"
30,"Brinjal","brj3.jpg","11.25","45"
31,"Brinjal","brj4.jpg","7.75","31"
32,"Brinjal","brj5.jpg","9.0","36"
33,"Brinjal","brj6.jpg","7.25","29"
34,"Brinjal","brj7.jpg","10.75","43"
35,"Corn","cn1.jpg","76.54","89"
36,"Corn","cn2.jpg","90.3","105"
37,"Corn","cn3.jpg","115.24","134"
38,"Corn","cn4.jpg","124.7","145"
39,"Corn","cn5.jpg","134.16","156"
40,"Corn","cn6.jpg","126.42","147"
41,"Corn","cn7.jpg","156.52","182"
42,"Corn","cn8.jpg","125.56","146"
43,"Carrot","crrt1.jpg","21.32","52"
44,"Carrot","crrt10.jpg","15.58","38"
45,"Carrot","crrt2.jpg","18.04","44"
46,"Carrot","crrt3.jpg","20.09","49"
47,"Carrot","crrt4.jpg","20.91","51"
48,"Carrot","crrt5.jpg","22.96","56"
49,"Carrot","crrt6.jpg","21.73","53"
50,"Carrot","crrt7.jpg","23.37","57"
51,"Carrot","crrt8.jpg","19.68","48"
52,"Carrot","crrt9.jpeg","23.78","58"
53,"Dates","dt1.jpg","236.88","84"
54,"Dates","dt10.jpg","205.86","73"
55,"Dates","dt11.jpg","194.58","69"
56,"Dates","dt2.jpg","217.14","77"
57,"Dates","dt3.jpg","174.84","62"
58,"Dates","dt4.jpg","177.66","63"
59,"Dates","dt5.jpg","188.94","67"
60,"Dates","dt6.jpg","200.22","71"
61,"Dates","dt7.jpg","239.7","85"
62,"Dates","dt8.jpg","267.9","95"
63,"Dates","dt9.jpg","70.5","25"
64,"Egg","eg1.jpg","68.2","44"
65,"Egg","eg2.jpg","100.75","65"
66,"Egg","eg3.jpg","114.7","74"
67,"Egg","eg4.jpg","52.7","34"
68,"Egg","eg5.jpg","125.55","81"
69,"Egg","eg6.jpg","105.4","68"
70,"Egg","eg7.jpg","88.35","57"
71,"Egg","eg8.jpg","75.95","49"
72,"Mango","mng1.jpg","43.2","72"
73,"Mango","mng10.jpg","21.6","36"
74,"Mango","mng2.jpg","30.6","51"
75,"Mango","mng3.jpg","27.0","45"
76,"Mango","mng4.jpg","54.0","90"
77,"Mango","mng5.jpg","52.2","87"
78,"Mango","mng6.jpg","57.6","96"
79,"Mango","mng7.jpg","44.4","74"
80,"Mango","mng8.jpg","51.0","85"
81,"Mango","mng9.jpg","39.6","66"
82,"Orange","ong1.jpg","21.15","45"
83,"Orange","ong2.jpg","31.02","66"
84,"Orange","ong3.jpg","33.84","72"
85,"Orange","ong4.jpg","25.38","54"
86,"Orange","ong5.jpg","28.67","61"
